date,LIC,LMC,UMC,HIC
30sep2021,1.13,14.12,56.57,58.77
01oct2021,1.14,14.26,56.68,59.02
02oct2021,1.14,14.41,56.77,59.18
03oct2021,1.14,14.57,56.82,59.330002
04oct2021,1.14,14.77,56.91,59.490002
05oct2021,1.14,14.95,57.209999,59.689999
06oct2021,1.14,15.09,57.369999,59.880001
07oct2021,1.15,15.22,57.560001,60.099998
08oct2021,1.15,15.44,57.73,60.369999
09oct2021,1.16,15.61,57.84,60.509998
10oct2021,1.17,15.88,57.900002,60.639999
11oct2021,1.1900001,16.030001,58,60.799999
12oct2021,1.21,16.200001,58.09,61
13oct2021,1.22,16.35,58.189999,61.169998
14oct2021,1.22,16.469999,58.330002,61.330002
15oct2021,1.25,16.559999,58.459999,61.540001
16oct2021,1.25,16.639999,58.52,61.68
17oct2021,1.25,16.809999,58.66,61.799999
18oct2021,1.26,17.09,58.740002,61.959999
19oct2021,1.27,17.299999,58.849998,62.119999
20oct2021,1.27,17.559999,58.959999,62.279999
21oct2021,1.35,17.75,59.049999,62.439999
22oct2021,1.35,17.959999,59.16,62.639999
23oct2021,1.35,18.190001,60.029999,62.799999
24oct2021,1.37,18.41,60.110001,62.919998
25oct2021,1.37,18.530001,60.23,63.07
26oct2021,1.39,18.719999,60.349998,63.220001
27oct2021,1.4,18.870001,60.439999,63.369999
28oct2021,1.4400001,19.049999,60.580002,63.540001
29oct2021,1.46,19.43,60.830002,63.73
30oct2021,1.46,19.59,61.09,63.849998
31oct2021,1.5,19.969999,61.150002,63.93
01nov2021,1.51,20.17,61.200001,64.029999
02nov2021,1.52,20.360001,61.259998,64.150002
03nov2021,1.52,20.52,61.349998,64.25
04nov2021,1.59,20.639999,61.5,64.349998
05nov2021,1.6,20.780001,61.799999,64.480003
06nov2021,1.6,20.9,61.869999,64.559998
07nov2021,1.6,21.030001,61.98,64.629997
08nov2021,1.6,21.190001,62.060001,64.720001
09nov2021,1.6,21.41,62.150002,64.839996
10nov2021,1.66,21.629999,62.27,64.93
11nov2021,1.71,21.870001,62.369999,65.019997
12nov2021,1.71,22.120001,62.540001,65.139999
13nov2021,1.74,22.42,62.610001,65.209999
14nov2021,2.1300001,22.559999,62.689999,65.269997
15nov2021,2.22,22.68,62.779999,65.349998
16nov2021,2.22,22.85,62.860001,65.440002
17nov2021,2.22,23.07,62.970001,65.529999
18nov2021,2.3199999,23.33,63.07,65.620003
19nov2021,2.3199999,23.530001,63.240002,65.720001
20nov2021,2.3199999,23.790001,63.369999,65.779999
21nov2021,2.3299999,24.01,63.43,65.82
22nov2021,2.3299999,24.219999,63.509998,65.919998
23nov2021,2.3399999,24.43,63.580002,66
24nov2021,2.4200001,24.719999,63.689999,66.07
25nov2021,2.4200001,24.870001,63.759998,66.139999
26nov2021,2.4300001,25.15,63.849998,66.25
27nov2021,2.4400001,25.290001,63.939999,66.309998
28nov2021,2.4400001,25.639999,64,66.379997
29nov2021,2.49,25.809999,65.43,66.480003
30nov2021,2.49,26.049999,65.510002,66.75
01dec2021,2.49,26.309999,65.629997,66.849998
02dec2021,2.52,27.540001,65.720001,66.940002
03dec2021,2.5599999,27.700001,66.389999,67.07
04dec2021,2.5699999,28.01,66.459999,67.150002
05dec2021,2.5699999,28.24,66.510002,67.199997
06dec2021,2.5799999,28.43,66.559998,67.290001
07dec2021,2.5799999,28.639999,66.629997,67.370003
08dec2021,2.6900001,28.940001,66.699997,67.459999
09dec2021,2.78,29.290001,66.779999,67.540001
10dec2021,2.8,29.43,68.330002,67.650002
11dec2021,2.8099999,29.83,68.400002,67.709999
12dec2021,2.8199999,30.139999,68.459999,67.760002
13dec2021,2.8599999,30.309999,68.510002,67.830002
14dec2021,2.8699999,30.610001,68.580002,67.900002
15dec2021,2.9200001,30.85,68.660004,67.980003
16dec2021,2.9200001,31,68.709999,68.059998
17dec2021,2.9400001,31.23,69.800003,68.150002
18dec2021,2.95,31.440001,69.839996,68.199997
19dec2021,2.95,31.639999,70.169998,68.239998
20dec2021,3.0699999,31.82,70.440002,68.309998
21dec2021,3.0699999,32.049999,70.510002,68.379997
22dec2021,3.1199999,32.18,70.580002,68.449997
23dec2021,3.1300001,32.400002,70.620003,68.5
24dec2021,3.1500001,32.639999,70.650002,68.540001
25dec2021,3.1500001,32.869999,71.059998,68.550003
26dec2021,3.23,33.009998,71.07,68.57
27dec2021,3.3099999,33.119999,71.120003,68.629997
28dec2021,3.71,33.459999,71.330002,68.699997
29dec2021,3.73,33.709999,71.410004,68.75
30dec2021,3.75,34.259998,71.43,68.830002
31dec2021,3.76,34.529999,71.470001,68.870003
01jan2022,3.8,34.73,71.489998,68.870003
02jan2022,3.8099999,34.799999,71.510002,68.919998
03jan2022,3.8299999,34.970001,71.540001,68.989998
04jan2022,3.8399999,35.209999,71.57,69.050003
05jan2022,3.8900001,35.34,71.610001,69.120003
06jan2022,3.95,35.490002,71.870003,69.190002
07jan2022,3.99,35.68,72.019997,69.279999
08jan2022,4,35.75,72.059998,69.339996
09jan2022,4.0100002,35.970001,72.110001,69.370003
10jan2022,4.2600002,36.5,72.160004,69.440002
11jan2022,4.27,36.740002,72.199997,69.510002
12jan2022,4.27,36.91,72.25,69.589996
13jan2022,4.29,37.220001,72.32,69.650002
14jan2022,4.29,37.310001,72.550003,69.730003
15jan2022,4.3200002,37.509998,72.57,69.769997
16jan2022,4.3400002,37.689999,72.639999,69.800003
17jan2022,4.4400001,37.84,72.709999,69.860001
18jan2022,4.46,37.919998,72.760002,69.919998
19jan2022,4.6399999,38.25,72.800003,69.970001
20jan2022,4.6399999,38.439999,72.830002,70.029999
21jan2022,4.6700001,38.650002,73.029999,70.089996
22jan2022,4.6700001,38.84,73.059998,70.120003
23jan2022,4.6900001,38.959999,73.089996,70.150002
24jan2022,4.6999998,39.080002,73.120003,70.199997
25jan2022,4.6999998,39.259998,73.160004,70.260002
26jan2022,4.7399998,39.41,73.18,70.309998
27jan2022,4.9699998,39.509998,73.220001,70.370003
28jan2022,5.02,39.66,73.449997,70.43
29jan2022,5.02,39.790001,73.470001,70.470001
30jan2022,5.0300002,39.98,73.489998,70.5
31jan2022,5.0599999,40.189999,73.519997,70.550003
01feb2022,5.0599999,40.389999,73.550003,70.589996
02feb2022,5.1300001,40.560001,73.580002,70.639999
03feb2022,5.1399999,40.689999,73.610001,70.68
04feb2022,5.1399999,40.939999,73.660004,70.75
05feb2022,5.1700001,41.09,73.669998,70.790001
06feb2022,5.21,41.259998,73.699997,70.82
07feb2022,5.2199998,41.349998,73.75,70.870003
08feb2022,5.23,41.580002,73.779999,70.919998
09feb2022,5.23,41.77,73.82,70.959999
10feb2022,5.23,41.939999,73.849998,71.010002
11feb2022,5.23,42.200001,73.879997,71.059998
12feb2022,5.27,42.310001,73.900002,71.099998
13feb2022,5.27,42.549999,73.93,71.120003
14feb2022,5.3000002,42.66,73.959999,71.160004
15feb2022,5.5999999,42.84,74,71.199997
16feb2022,5.5999999,42.959999,74.029999,71.269997
17feb2022,5.5999999,43.119999,74.050003,71.300003
18feb2022,5.6500001,43.68,74.239998,71.349998
19feb2022,5.6500001,43.91,74.269997,71.379997
20feb2022,5.73,44.009998,74.290001,71.400002
21feb2022,5.8800001,44.200001,74.309998,71.43
22feb2022,5.8899999,44.360001,74.32,71.459999
23feb2022,5.9000001,44.48,74.349998,71.489998
24feb2022,5.96,44.580002,74.370003,71.519997
25feb2022,5.9699998,44.709999,74.480003,71.559998
26feb2022,5.98,44.830002,74.489998,71.589996
27feb2022,6,44.889999,74.5,71.599998
28feb2022,6.0100002,45.189999,74.529999,71.629997
01mar2022,6.02,45.25,74.529999,71.650002
02mar2022,6.02,45.310001,74.550003,71.68
03mar2022,6.02,45.439999,74.580002,71.730003
04mar2022,6.0500002,45.52,74.620003,71.75
05mar2022,6.1900001,45.669998,74.639999,71.769997
06mar2022,8.6499996,45.830002,74.779999,71.779999
