date,High Income,Low Income,Lower-Middle Income,Upper-Middle Income
2021-04-01,8.850000381469727,0,.5299999713897705,.9100000262260437
2021-04-02,9.069999694824219,0,.5400000214576721,.9200000166893005
2021-04-03,9.220000267028809,0,.5600000023841858,.9399999976158142
2021-04-04,9.270000457763672,0,.5600000023841858,.949999988079071
2021-04-05,9.460000038146973,0,.5799999833106995,.9700000286102295
2021-04-06,9.710000038146973,0,.6000000238418579,1
2021-04-07,10.01000022888184,0,.6200000047683716,1.039999961853027
2021-04-08,10.34000015258789,0,.6399999856948853,1.080000042915344
2021-04-09,10.65999984741211,0,.6600000262260437,1.120000004768372
2021-04-10,10.88000011444092,0,.6800000071525574,1.139999985694885
2021-04-11,11,0,.699999988079071,1.159999966621399
2021-04-12,11.22000026702881,0,.7200000286102295,1.190000057220459
2021-04-13,11.44999980926514,0,.7400000095367432,1.230000019073486
2021-04-14,11.69999980926514,0,.7599999904632568,1.289999961853027
2021-04-15,11.97000026702881,0,.800000011920929,1.330000042915344
2021-04-16,12.25,0,.8199999928474426,1.379999995231628
2021-04-17,12.43000030517578,0,.8399999737739563,1.409999966621399
2021-04-18,12.52999973297119,0,.8700000047683716,1.440000057220459
2021-04-19,12.73999977111816,0,.9100000262260437,1.470000028610229
2021-04-20,13.11999988555908,0,.9200000166893005,1.519999980926514
2021-04-21,13.40999984741211,.0099999997764826,.9399999976158142,1.559999942779541
2021-04-22,13.71000003814697,.0099999997764826,1,1.610000014305115
2021-04-23,14,.0099999997764826,1.009999990463257,1.669999957084656
2021-04-24,14.1899995803833,.0099999997764826,1.029999971389771,1.700000047683716
2021-04-25,14.30000019073486,.0099999997764826,1.100000023841858,1.710000038146973
2021-04-26,14.51000022888184,.0099999997764826,1.149999976158142,1.759999990463257
2021-04-27,14.78999996185303,.0099999997764826,1.200000047683716,1.809999942779541
2021-04-28,15.10000038146973,.0099999997764826,1.240000009536743,1.899999976158142
2021-04-29,15.46000003814697,.0099999997764826,1.279999971389771,1.970000028610229
2021-04-30,15.75,.0099999997764826,1.320000052452087,2.029999971389771
2021-05-01,15.93000030517578,.0099999997764826,1.350000023841858,2.049999952316284
2021-05-02,16.06999969482422,.0099999997764826,1.360000014305115,2.069999933242798
2021-05-03,16.27000045776367,.0099999997764826,1.399999976158142,2.109999895095825
2021-05-04,16.54000091552734,.0099999997764826,1.450000047683716,2.180000066757202
2021-05-05,16.8799991607666,.0099999997764826,1.5,2.25
2021-05-06,17.21999931335449,.0099999997764826,1.549999952316284,2.299999952316284
2021-05-07,17.54999923706055,.0099999997764826,1.610000014305115,2.359999895095825
2021-05-08,17.77000045776367,.0199999995529652,1.659999966621399,2.390000104904175
2021-05-09,17.89999961853027,.0199999995529652,1.679999947547913,2.400000095367432
2021-05-10,18.1200008392334,.0199999995529652,1.740000009536743,2.440000057220459
2021-05-11,18.40999984741211,.0299999993294477,1.820000052452087,2.490000009536743
2021-05-12,18.71999931335449,.0399999991059303,1.860000014305115,2.559999942779541
2021-05-13,19.02000045776367,.0399999991059303,1.899999976158142,2.599999904632568
2021-05-14,19.34000015258789,.0399999991059303,1.919999957084656,2.630000114440918
2021-05-15,19.55999946594238,.0399999991059303,1.950000047683716,2.660000085830688
2021-05-16,19.70000076293945,.0399999991059303,1.960000038146973,2.700000047683716
2021-05-17,19.94000053405762,.0399999991059303,1.970000028610229,2.740000009536743
2021-05-18,20.21999931335449,.0399999991059303,2,2.799999952316284
2021-05-19,20.52000045776367,.0399999991059303,2.019999980926514,2.849999904632568
2021-05-20,20.86000061035156,.0500000007450581,2.049999952316284,2.900000095367432
2021-05-21,21.20000076293945,.0500000007450581,2.069999933242798,2.950000047683716
2021-05-22,21.44000053405762,.0500000007450581,2.089999914169312,3
2021-05-23,21.60000038146973,.0500000007450581,2.099999904632568,3.029999971389771
2021-05-24,21.79999923706055,.0500000007450581,2.130000114440918,3.059999942779541
2021-05-25,22.05999946594238,.0500000007450581,2.150000095367432,3.099999904632568
2021-05-26,22.3700008392334,.0500000007450581,2.170000076293945,3.140000104904175
2021-05-27,22.68000030517578,.0599999986588955,2.200000047683716,3.170000076293945
2021-05-28,23.02000045776367,.0599999986588955,2.210000038146973,3.220000028610229
2021-05-29,23.23999977111816,.0599999986588955,2.230000019073486,3.25
2021-05-30,23.40999984741211,.0599999986588955,2.25,3.269999980926514
2021-05-31,23.60000038146973,.0700000002980232,2.289999961853027,3.309999942779541
2021-06-01,23.90999984741211,.0700000002980232,2.329999923706055,3.369999885559082
2021-06-02,24.22999954223633,.0799999982118607,2.349999904632568,3.420000076293945
2021-06-03,24.52000045776367,.0799999982118607,2.380000114440918,3.470000028610229
2021-06-04,24.86000061035156,.0799999982118607,2.400000095367432,3.519999980926514
2021-06-05,25.14999961853027,.0799999982118607,2.430000066757202,3.549999952316284
2021-06-06,25.38999938964844,.1000000014901161,2.440000057220459,3.569999933242798
2021-06-07,25.67000007629395,.1099999994039536,2.460000038146973,3.609999895095825
2021-06-08,26.01000022888184,.1099999994039536,2.5,3.670000076293945
2021-06-09,26.38999938964844,.1099999994039536,2.539999961853027,3.720000028610229
2021-06-10,26.79000091552734,.119999997317791,2.569999933242798,3.769999980926514
2021-06-11,27.19000053405762,.119999997317791,2.589999914169312,3.829999923706055
2021-06-12,27.46999931335449,.119999997317791,2.619999885559082,3.869999885559082
2021-06-13,27.73999977111816,.119999997317791,2.630000114440918,3.890000104904175
2021-06-14,28.07999992370605,.1299999952316284,2.670000076293945,3.940000057220459
2021-06-15,28.44000053405762,.1299999952316284,2.730000019073486,3.980000019073486
2021-06-16,28.8799991607666,.1299999952316284,2.759999990463257,4.019999980926514
2021-06-17,29.27000045776367,.1299999952316284,2.789999961853027,4.099999904632568
2021-06-18,29.68000030517578,.1400000005960464,2.819999933242798,4.159999847412109
2021-06-19,29.95999908447266,.1400000005960464,2.849999904632568,4.21999979019165
2021-06-20,30.21999931335449,.1400000005960464,2.869999885559082,4.260000228881836
2021-06-21,30.51000022888184,.1400000005960464,2.910000085830688,4.309999942779541
2021-06-22,30.93000030517578,.1500000059604645,2.940000057220459,4.380000114440918
2021-06-23,31.35000038146973,.1500000059604645,2.970000028610229,4.429999828338623
2021-06-24,31.71999931335449,.1599999964237213,3.009999990463257,4.519999980926514
2021-06-25,32.11999893188477,.1599999964237213,3.049999952316284,4.579999923706055
2021-06-26,32.45999908447266,.1599999964237213,3.099999904632568,4.619999885559082
2021-06-27,32.86999893188477,.1599999964237213,3.130000114440918,4.659999847412109
2021-06-28,33.22999954223633,.1599999964237213,3.170000076293945,4.71999979019165
2021-06-29,33.63000106811523,.1700000017881393,3.25,4.789999961853027
2021-06-30,34.04000091552734,.1700000017881393,3.279999971389771,4.860000133514404
2021-07-01,34.41999816894531,.1700000017881393,3.339999914169312,4.929999828338623
2021-07-02,34.84000015258789,.1700000017881393,3.359999895095825,4.989999771118164
2021-07-03,35.22000122070313,.1700000017881393,3.450000047683716,5.039999961853027
2021-07-04,35.4900016784668,.1800000071525574,3.490000009536743,5.070000171661377
2021-07-05,36.04000091552734,.1899999976158142,3.559999942779541,5.139999866485596
2021-07-06,36.40999984741211,.2000000029802322,3.609999895095825,5.210000038146973
2021-07-07,36.83000183105469,.2000000029802322,3.660000085830688,5.309999942779541
2021-07-08,37.22999954223633,.2000000029802322,3.789999961853027,5.409999847412109
2021-07-09,37.68000030517578,.2000000029802322,3.809999942779541,5.480000019073486
2021-07-10,37.97999954223633,.2000000029802322,3.900000095367432,5.539999961853027
2021-07-11,38.29000091552734,.2000000029802322,3.920000076293945,5.610000133514404
2021-07-12,38.65000152587891,.2099999934434891,4,5.730000019073486
2021-07-13,39.04000091552734,.2099999934434891,4.079999923706055,5.809999942779541
2021-07-14,39.45000076293945,.2099999934434891,4.150000095367432,5.929999828338623
2021-07-15,39.86999893188477,.2099999934434891,4.21999979019165,6.050000190734863
2021-07-16,40.29999923706055,.2099999934434891,4.300000190734863,6.130000114440918
2021-07-17,40.65999984741211,.2099999934434891,4.369999885559082,6.210000038146973
2021-07-18,40.95000076293945,.2199999988079071,4.369999885559082,6.260000228881836
2021-07-19,41.29000091552734,.25,4.480000019073486,6.329999923706055
2021-07-20,41.65000152587891,.25,4.53000020980835,6.429999828338623
2021-07-21,42.04000091552734,.25,4.579999923706055,6.53000020980835
2021-07-22,42.38000106811523,.25,4.659999847412109,6.659999847412109
2021-07-23,42.7400016784668,.25,4.75,6.769999980926514
2021-07-24,43.04000091552734,.25,4.820000171661377,6.849999904632568
2021-07-25,43.31999969482422,.25,4.880000114440918,6.940000057220459
2021-07-26,43.66999816894531,.25,5.03000020980835,7.039999961853027
2021-07-27,44.02000045776367,.2599999904632568,5.110000133514404,7.179999828338623
2021-07-28,44.40000152587891,.2599999904632568,5.179999828338623,7.320000171661377
2021-07-29,44.7400016784668,.2599999904632568,5.309999942779541,7.46999979019165
2021-07-30,45.11000061035156,.2800000011920929,5.389999866485596,7.599999904632568
2021-07-31,45.40000152587891,.2800000011920929,5.420000076293945,7.710000038146973
2021-08-01,45.63000106811523,.2800000011920929,5.519999980926514,7.760000228881836
2021-08-02,45.90000152587891,.2800000011920929,5.599999904632568,7.849999904632568
2021-08-03,46.22000122070313,.2800000011920929,5.78000020980835,7.96999979019165
2021-08-04,46.52000045776367,.2800000011920929,5.840000152587891,8.090000152587891
2021-08-05,46.84999847412109,.2800000011920929,5.929999828338623,8.210000038146973
2021-08-06,47.18999862670898,.2800000011920929,6.010000228881836,8.319999694824219
2021-08-07,47.45999908447266,.2800000011920929,6.099999904632568,8.420000076293945
2021-08-08,47.66999816894531,.2800000011920929,6.170000076293945,8.5
2021-08-09,47.91999816894531,.3100000023841858,6.440000057220459,8.600000381469727
2021-08-10,48.20000076293945,.3199999928474426,6.53000020980835,8.770000457763672
2021-08-11,48.5099983215332,.3199999928474426,6.630000114440918,8.909999847412109
2021-08-12,48.83000183105469,.3400000035762787,6.699999809265137,39.97999954223633
2021-08-13,49.13000106811523,.3400000035762787,6.849999904632568,40.16999816894531
2021-08-14,49.34999847412109,.3499999940395355,6.949999809265137,40.33000183105469
2021-08-15,49.54000091552734,.3499999940395355,7,40.40999984741211
2021-08-16,49.79999923706055,.3700000047683716,7.110000133514404,40.52999877929688
2021-08-17,50.09999847412109,.3700000047683716,7.21999979019165,40.68000030517578
2021-08-18,50.40999984741211,.3799999952316284,7.309999942779541,40.84999847412109
2021-08-19,50.70999908447266,.3799999952316284,7.409999847412109,41
2021-08-20,51.0099983215332,.4600000083446503,7.579999923706055,41.15000152587891
2021-08-21,51.22000122070313,.4600000083446503,7.659999847412109,41.2400016784668
2021-08-22,51.43999862670898,.4699999988079071,7.75,41.31999969482422
2021-08-23,51.7599983215332,.4900000095367432,7.809999942779541,41.43000030517578
2021-08-24,52.06999969482422,.5,7.980000019073486,41.56999969482422
2021-08-25,52.38000106811523,.5199999809265137,8.159999847412109,41.70000076293945
2021-08-26,52.66999816894531,.5199999809265137,8.279999732971191,46.31000137329102
2021-08-27,52.97000122070313,.5299999713897705,8.460000038146973,46.58000183105469
2021-08-28,53.20000076293945,.5299999713897705,8.590000152587891,46.68999862670898
2021-08-29,53.41999816894531,.5600000023841858,8.800000190734863,46.77999877929688
2021-08-30,53.68000030517578,.5899999737739563,8.909999847412109,46.90000152587891
2021-08-31,53.97000122070313,.5899999737739563,9.090000152587891,47.02999877929688
2021-09-01,54.25,.6100000143051147,9.289999961853027,47.20000076293945
2021-09-02,54.5099983215332,.6100000143051147,9.430000305175781,47.34000015258789
2021-09-03,54.77999877929688,.6100000143051147,9.529999732971191,47.4900016784668
2021-09-04,54.95000076293945,.6200000047683716,9.670000076293945,47.61000061035156
2021-09-05,55.15000152587891,.6299999952316284,9.880000114440918,47.68999862670898
2021-09-06,55.34999847412109,.6600000262260437,10,50.97999954223633
2021-09-07,55.59999847412109,.6700000166893005,10.15999984741211,51.09999847412109
2021-09-08,55.81999969482422,.699999988079071,10.43000030517578,51.31000137329102
2021-09-09,56.04999923706055,.699999988079071,10.6899995803833,51.5099983215332
2021-09-10,56.31000137329102,.699999988079071,10.77999973297119,51.7599983215332
2021-09-11,56.4900016784668,.7099999785423279,11,51.88999938964844
2021-09-12,56.65999984741211,.7200000286102295,11.21000003814697,51.97000122070313
2021-09-13,56.88000106811523,.7400000095367432,11.38000011444092,52.09000015258789
2021-09-14,57.08000183105469,.9200000166893005,11.48999977111816,52.2400016784668
2021-09-15,57.31999969482422,.9300000071525574,11.67000007629395,54.06000137329102
2021-09-16,57.52999877929688,.9300000071525574,11.86999988555908,54.20000076293945
2021-09-17,57.79000091552734,.949999988079071,12.01000022888184,54.34000015258789
2021-09-18,57.95999908447266,.9900000095367432,12.3100004196167,54.84999847412109
2021-09-19,58.11999893188477,1.019999980926514,12.51000022888184,54.95000076293945
2021-09-20,58.2599983215332,1.049999952316284,12.68000030517578,55.06000137329102
2021-09-21,58.43999862670898,1.049999952316284,12.85999965667725,55.22000122070313
2021-09-22,58.63000106811523,1.090000033378601,13.01000022888184,55.36999893188477
2021-09-23,58.79999923706055,1.100000023841858,13.19999980926514,55.5
2021-09-24,59.02999877929688,1.100000023841858,13.39000034332275,55.61999893188477
2021-09-25,59.20999908447266,1.100000023841858,13.55000019073486,55.70999908447266
